Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/27/2013,NORTH,24,12018,2701,35,503,228,16,28,217,22,1,2,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/26/2013,SOUTH,31,15929,4042,40,726,289,18,54,221,13,6,1,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/26/2013,NORTH,19,12033,2921,33,514,223,21,38,191,14,4,2,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/25/2013,NORTH,24,11712,2899,31,539,241,21,35,187,9,1,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/25/2013,SOUTH,36,15193,3836,42,682,299,29,45,200,2,4,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/24/2013,SOUTH,35,15011,3762,37,647,265,20,54,225,15,2,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/24/2013,NORTH,26,10965,2656,32,508,213,16,38,196,18,1,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/21/2013,NORTH,23,13055,2953,35,507,253,38,24,182,6,2,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/21/2013,SOUTH,47,16053,3748,60,675,308,20,52,198,5,2,3,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/20/2013,NORTH,37,12279,2899,32,552,231,26,40,211,24,1,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/20/2013,SOUTH,37,14773,3720,46,666,281,29,61,211,13,2,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/19/2013,SOUTH,45,15237,3849,44,684,299,26,59,181,13,2,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/19/2013,NORTH,29,12078,2785,43,502,208,12,30,186,5,2,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
